#channel,long/short,perimeter/sqrt(area),area
1,1.275629,3.664524,46.569748
2,1.245332,3.665950,46.371011
3,1.417349,3.743213,54.694484
4,1.223198,3.644755,55.694437
5,1.536840,3.683813,41.840077
6,1.358589,3.660343,37.238479
7,1.136833,3.645819,47.953256
8,1.181999,3.619952,42.908262
9,2.146987,3.857459,53.866479
10,1.173003,3.657026,47.611607
11,1.133982,3.612132,52.219983
12,1.086741,3.644215,40.661988
13,1.291410,3.677733,42.413685
14,1.316086,3.686942,48.213028
15,1.110620,3.602813,50.246009
